Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-October-2019,199.50,200.70,196.55,198.70,199.874915854596743172,499136,1286,99764766.00,420188,84.18,4.15,-0.80
15-October-2019,198.80,201.95,198.45,201.35,200.728655196855467491,93114,1277,18690648.00,44433,47.72,3.50,2.55
14-October-2019,201.00,202.40,197.85,198.45,199.653966978899201009,69713,575,13918477.00,22817,32.73,4.55,-2.55
11-October-2019,199.90,204.15,199.00,201.00,201.890120498543329483,174027,1501,35134332.00,49663,28.54,5.15,1.10
10-October-2019,197.50,199.60,196.55,199.15,198.009279592779035327,88797,637,17582630.00,25793,29.05,3.05,1.65
9-October-2019,197.85,198.90,195.50,197.45,197.120525071980681313,96901,623,19101176.00,14490,14.95,3.40,-0.40
7-October-2019,195.30,197.35,194.55,196.40,196.101940819350829389,83676,701,16409026.00,21920,26.20,2.80,1.10
4-October-2019,199.00,199.60,195.85,196.65,197.410437345669975307,102459,935,20226476.00,18504,18.06,3.75,-2.35
3-October-2019,195.45,200.00,194.70,199.05,197.771502462089053173,76561,658,15141584.00,21058,27.50,5.30,3.60
1-October-2019,199.80,202.55,196.00,196.65,198.590207423056609209,83308,817,16544153.00,15656,18.79,6.55,-3.15
30-September-2019,198.80,199.90,195.80,198.95,197.598207504177426705,125077,832,24714991.00,33120,26.48,4.10,0.15
27-September-2019,196.25,199.75,196.05,198.10,198.046279820204019989,334379,3502,66222517.00,152424,45.58,3.70,1.85
26-September-2019,200.80,201.40,197.15,199.20,198.732635783784088761,354479,2336,70446546.00,81186,22.90,4.25,-1.60
25-September-2019,193.05,203.35,193.00,198.75,199.034537720774891562,1262938,8912,251368281.00,215502,17.06,10.35,5.70
24-September-2019,188.40,191.80,185.05,190.40,187.773660729149325786,300350,2965,56397819.00,56841,18.92,6.75,2.00
23-September-2019,197.90,198.00,187.50,188.35,191.606836657101708837,458967,4694,87941215.00,160585,34.99,10.50,-9.55
20-September-2019,199.20,208.80,195.55,196.35,201.509963140480280771,487798,3601,98296157.00,61698,12.65,13.25,-2.85
19-September-2019,201.00,202.45,199.20,201.15,200.595581799029716778,67403,557,13520744.00,9605,14.25,3.25,0.15
18-September-2019,198.60,203.00,198.50,202.10,200.989449358652564524,115538,1123,23221919.00,24373,21.10,4.50,3.50
17-September-2019,202.95,202.95,199.60,200.40,201.115610690741402266,61586,571,12385906.00,15420,25.04,3.35,-2.55
16-September-2019,202.40,203.95,200.85,202.05,202.364427725863452073,92246,753,18667309.00,25656,27.81,3.10,-0.35
13-September-2019,200.00,203.00,199.00,202.65,201.121543821785474437,174217,1061,35038792.00,24298,13.95,4.00,2.65
12-September-2019,201.40,201.65,197.80,199.45,200.008977269761736997,114957,1146,22992432.00,32294,28.09,3.85,-1.95
11-September-2019,203.00,203.90,200.00,201.20,201.744904108153426954,76336,697,15400399.00,13429,17.59,3.90,-1.80
9-September-2019,202.00,204.70,202.00,202.80,203.432155203549868427,96905,760,19713593.00,19943,20.58,2.70,0.80
6-September-2019,201.50,204.25,201.00,203.50,202.566059502601571144,127423,940,25811575.00,25236,19.80,3.25,2.00
5-September-2019,198.85,203.20,197.40,199.35,200.239796991548505752,185411,1490,37126661.00,19762,10.66,5.80,0.50
4-September-2019,197.00,198.90,195.50,196.85,197.030272324255858138,118425,1095,23333310.00,31932,26.96,3.40,-0.15
3-September-2019,200.65,202.45,196.05,196.90,198.872694284850317508,138894,1132,27622224.00,23991,17.27,6.40,-3.75
30-August-2019,206.00,207.00,194.10,200.55,199.959855078966259870,356608,2587,71307284.00,43293,12.14,12.90,-5.45
29-August-2019,205.90,206.90,203.70,204.90,205.848932372554837784,1102023,1182,226850258.00,995480,90.33,3.20,-1.00
28-August-2019,207.05,211.20,204.40,205.70,207.939045613024405758,333282,2975,69302341.00,60710,18.22,6.80,-1.35
27-August-2019,202.15,209.25,202.15,206.55,206.869336867923712424,1665068,1634,344451513.00,1492890,89.66,7.10,4.40
26-August-2019,203.55,203.55,199.15,202.95,200.806579082695940715,184737,1255,37096405.00,54983,29.76,4.40,-0.60
23-August-2019,202.80,204.45,200.80,201.40,202.230356725035255133,158133,1228,31979293.00,49700,31.43,3.65,-1.40
22-August-2019,204.00,205.55,200.85,202.80,203.128600538351236446,79502,754,16149130.00,16502,20.76,4.70,-1.20
21-August-2019,206.00,207.40,204.40,204.80,205.655952894667242027,71839,598,14774118.00,11043,15.37,3.00,-1.20
20-August-2019,207.00,210.90,205.80,206.05,207.841653938869771635,163029,1593,33884217.00,26144,16.04,5.10,-0.95
19-August-2019,209.90,209.95,206.20,207.00,207.561466151716097063,123507,1289,25635294.00,19953,16.16,3.75,-2.90
16-August-2019,204.75,213.30,202.40,211.25,207.730326772142295543,144994,1236,30119651.00,25648,17.69,10.90,6.50
14-August-2019,202.00,206.10,197.85,205.40,202.091983056499620403,140939,1087,28482642.00,19395,13.76,8.25,3.40
13-August-2019,201.00,205.40,196.85,202.00,201.563251361258407772,140495,1214,28318629.00,28595,20.35,8.55,1.00
9-August-2019,203.65,208.60,201.10,202.05,204.088112459281049296,313429,1716,63967133.00,29346,9.36,7.50,-1.60
8-August-2019,199.00,205.05,197.05,202.80,200.567378497790868924,111356,1051,22334381.00,28588,25.67,8.00,3.80
7-August-2019,200.25,200.75,197.10,198.70,198.912602540046831144,128974,996,25654554.00,27442,21.28,3.65,-1.55
6-August-2019,200.90,202.40,196.35,198.10,198.855268280812750942,164380,1525,32687829.00,24752,15.06,6.05,-2.80
5-August-2019,210.40,210.40,196.85,201.15,201.068471669218989280,326500,2205,65648856.00,40146,12.30,13.55,-9.25
2-August-2019,213.10,213.90,208.60,210.45,210.999391308149408627,297359,2781,62742568.00,39090,13.15,5.30,-2.65
1-August-2019,212.00,216.20,210.50,214.05,214.679789283107954522,250763,3093,53833748.00,78888,31.46,5.70,2.05
31-July-2019,208.00,213.90,206.20,211.00,210.425238898257448004,181458,1961,38183343.00,48942,26.97,7.70,3.00
30-July-2019,207.10,209.75,206.85,208.35,208.067849336709299054,554508,1302,115375287.00,449711,81.10,2.90,1.25
29-July-2019,211.05,212.35,207.05,207.85,210.943726526853796571,483265,1275,101941720.00,388650,80.42,5.30,-3.20
26-July-2019,212.60,213.90,210.25,211.10,211.334713417000905679,262786,1174,55535804.00,179429,68.28,3.65,-1.50
25-July-2019,210.50,214.25,210.25,212.80,212.487952793263852798,1325743,2595,281704416.00,1121256,84.58,4.00,2.30
24-July-2019,210.30,213.05,208.60,209.75,210.513014540776362574,210649,1644,44344356.00,27130,12.88,4.45,-0.55
23-July-2019,204.20,211.00,204.15,210.40,208.689247521711027345,625028,1567,130436623.00,493275,78.92,6.85,6.20
22-July-2019,203.60,207.15,202.80,204.00,206.010696132981144767,344891,943,71051235.00,249217,72.26,4.35,0.40
19-July-2019,205.95,207.55,202.95,205.90,205.807741951459586282,323071,1302,66490513.00,89195,27.61,4.60,-0.05
18-July-2019,207.15,208.25,205.00,205.35,206.789544747916052427,298472,608,61720889.00,240729,80.65,3.25,-1.80
17-July-2019,209.00,210.50,206.60,207.50,207.519924265027156276,707203,1209,146758713.00,620255,87.71,3.90,-1.50
16-July-2019,204.30,209.25,204.25,209.00,206.438584456987561409,153072,831,31599967.00,86256,56.35,5.00,4.70
15-July-2019,205.10,206.80,203.00,204.80,204.484275938630194013,691806,1536,141463449.00,534838,77.31,3.80,-0.30
12-July-2019,208.95,209.80,204.50,206.05,206.948683279284227872,94667,777,19591211.00,28724,30.34,5.30,-2.90
11-July-2019,207.85,209.20,206.65,208.70,207.567578052334956434,1069763,2372,222048115.00,850191,79.47,2.55,0.85
10-July-2019,206.00,206.45,203.15,205.25,204.416091987610309157,342220,1550,69955275.00,215630,63.01,3.30,-0.75
9-July-2019,203.00,205.15,199.65,204.60,202.935831999080028660,113047,900,22941287.00,28571,25.27,5.50,1.60
8-July-2019,205.00,206.35,200.20,201.35,202.721132713440405748,118300,885,23981910.00,29254,24.73,6.15,-3.65
5-July-2019,211.00,212.00,204.30,205.80,208.237026540733680277,196189,1428,40853814.00,25097,12.79,7.70,-5.20
4-July-2019,209.95,210.65,207.85,210.15,209.463087400681044267,132150,974,27680547.00,52278,39.56,2.80,0.20
3-July-2019,207.50,209.65,207.10,208.90,208.961563224969085018,880641,1224,184020120.00,746973,84.82,2.55,1.40
2-July-2019,208.00,208.90,206.50,207.35,207.669186821173335486,99068,748,20573371.00,22765,22.98,2.40,-0.65
1-July-2019,207.00,210.00,205.75,207.05,207.167969709669494342,484379,2550,100347814.00,319666,66.00,4.25,0.05
28-June-2019,207.90,209.55,204.95,206.90,206.988927251433525484,197241,1693,40826703.00,57915,29.36,4.60,-1.00
27-June-2019,208.65,209.80,206.50,207.55,207.463527963267210652,510062,2342,105819262.00,347102,68.05,3.30,-1.10
26-June-2019,201.00,211.00,201.00,209.85,207.266800711916347657,1381623,5790,286364579.00,958530,69.38,10.00,8.85
25-June-2019,199.20,202.25,199.20,201.55,201.468196629655190488,114469,2725,23061863.00,40879,35.71,3.05,2.35
24-June-2019,199.95,200.30,197.60,198.95,198.993080652269722344,68070,581,13545459.00,20036,29.43,2.70,-1.00
21-June-2019,201.65,202.05,198.65,199.95,200.272224241689890544,74277,732,14875620.00,19852,26.73,3.40,-1.70
20-June-2019,200.30,202.70,200.30,200.95,201.409067630901021136,128876,892,25956795.00,48878,37.93,2.40,0.65
19-June-2019,199.00,201.45,198.40,200.80,200.776976151518223020,552488,2865,110926870.00,344397,62.34,3.05,1.80
18-June-2019,194.60,198.35,194.10,197.70,197.264017353454941152,279368,2315,55109254.00,129644,46.41,4.25,3.10
17-June-2019,195.30,196.05,193.65,194.05,194.872262381698891017,688920,843,134251399.00,582485,84.55,2.40,-1.25
14-June-2019,194.40,196.95,193.40,194.60,195.026990605565408654,387357,1205,75545070.00,256653,66.26,3.55,0.20
13-June-2019,191.25,194.40,189.80,193.75,192.803516075865788319,198403,1188,38252796.00,95258,48.01,4.60,2.50
12-June-2019,192.85,193.60,190.40,191.00,191.056855924066174502,1143522,1871,218477718.00,953259,83.36,3.20,-1.85
11-June-2019,195.90,195.90,192.70,193.10,193.113707346392807776,1254466,4260,242254580.00,735374,58.62,3.20,-2.80
10-June-2019,191.50,195.95,191.50,193.55,193.652605990048923814,1803825,4313,349315412.00,1238642,68.67,4.45,2.05
7-June-2019,195.55,195.75,190.60,191.20,192.118464385483091502,424195,2123,81495692.00,248827,58.66,5.15,-4.35
6-June-2019,195.00,198.10,194.25,195.55,196.284072030558418723,329860,2087,64746264.00,85809,26.01,3.85,0.55
4-June-2019,193.00,195.95,192.50,193.10,194.121698193592365371,234720,2385,45564245.00,94389,40.21,3.45,0.10
3-June-2019,190.00,192.90,190.00,192.50,190.875141336855709859,667731,4663,127453249.00,390901,58.54,2.90,2.50
31-May-2019,191.50,192.30,188.55,189.15,189.683240227122395918,458079,3442,86889909.00,275431,60.13,3.75,-2.35
30-May-2019,194.70,194.70,188.20,191.15,189.560459442694251848,2090881,5012,396348363.00,1425813,68.19,6.50,-3.55
29-May-2019,191.80,192.95,189.30,190.30,190.662261788844067325,129402,1975,24672078.00,24469,18.91,3.65,-1.50
28-May-2019,188.45,190.95,187.75,189.40,189.213261478883728487,147706,945,27947934.00,45966,31.12,3.20,0.95
27-May-2019,185.45,189.65,185.45,187.05,186.924550184083983872,365594,911,68338494.00,182392,49.89,4.20,1.60
24-May-2019,185.35,186.55,184.40,185.65,185.292094205022964917,122796,761,22753128.00,53736,43.76,2.15,0.30
23-May-2019,184.40,188.05,183.65,184.45,186.325192620343535731,169764,3029,31631310.00,55222,32.53,4.40,0.05
22-May-2019,187.00,187.00,181.00,182.10,183.679036946261824221,789904,1112,145088806.00,734280,92.96,6.00,-4.90
21-May-2019,188.45,188.45,183.80,184.00,185.630573454302523543,92806,1582,17227631.00,42077,45.34,4.65,-4.45
20-May-2019,184.20,189.05,184.20,188.00,187.015647523706327257,2782485,1846,520368234.00,2536920,91.17,4.85,3.80
17-May-2019,181.85,183.50,180.60,182.10,182.109643294594673623,307789,1256,56051345.00,177430,57.65,2.90,0.25
16-May-2019,179.15,182.65,178.85,181.85,181.950484034099118624,276840,2679,50371172.00,153357,55.40,3.80,2.70
15-May-2019,182.90,184.40,177.75,178.80,180.988161734055856606,95960,828,17367624.00,19429,20.25,6.65,-4.10
14-May-2019,182.90,183.95,181.05,181.80,182.204144697452536840,103554,703,18867968.00,46119,44.54,2.90,-1.10
13-May-2019,184.60,186.10,182.05,182.45,183.275511243970378422,117752,872,21581058.00,57848,49.13,4.05,-2.15
10-May-2019,187.95,187.95,185.00,185.50,185.983927672079525506,204513,1043,38036131.00,116186,56.81,2.95,-2.45
9-May-2019,190.00,190.00,186.40,187.95,187.823676152418334653,84583,857,15886690.00,27017,31.94,3.60,-2.05
8-May-2019,190.10,193.60,188.65,189.55,191.571852212655616520,69803,787,13372290.00,17947,25.71,4.95,-0.55
7-May-2019,192.40,193.85,190.45,191.60,192.366747917140192336,127589,1151,24543881.00,54232,42.51,3.40,-0.80
6-May-2019,189.60,192.55,188.95,190.00,190.252016586066193138,211744,1290,40284723.00,148115,69.95,3.60,0.40
3-May-2019,190.00,192.90,190.00,190.40,191.409427131397742599,70435,605,13481923.00,18567,26.36,2.90,0.40
2-May-2019,187.00,190.70,186.40,190.00,189.966552724109864304,1593493,1291,302710372.00,1436899,90.17,4.30,3.00
30-April-2019,191.00,192.20,185.30,186.30,187.210602053844227163,1066001,1935,199566689.00,877254,82.29,6.90,-4.70
26-April-2019,193.90,194.25,190.35,190.80,192.662556021506191750,659345,1483,127031093.00,565765,85.81,3.90,-3.10
25-April-2019,193.00,195.45,190.45,191.30,193.575216912483660803,582954,3787,112845447.00,329353,56.50,5.00,-1.70
24-April-2019,193.00,194.20,190.00,191.95,191.482098980446795891,106223,1144,20339803.00,55476,52.23,4.20,-1.05
23-April-2019,194.95,194.95,192.20,192.75,192.937649154650263856,59502,546,11480176.00,17912,30.10,2.75,-2.20
22-April-2019,193.40,196.70,193.00,194.60,194.927943502409239710,163122,1691,31797036.00,66369,40.69,3.70,1.20
18-April-2019,197.95,197.95,193.40,194.20,194.584663904357235227,75782,731,14746015.00,22083,29.14,4.55,-3.75
16-April-2019,198.00,199.45,196.60,196.85,197.815629116625195479,129809,1189,25678249.00,26475,20.40,2.85,-1.15
15-April-2019,195.25,200.40,195.25,198.10,198.671087026461835437,99464,1029,19760621.00,31267,31.44,5.15,2.85
12-April-2019,197.30,197.55,195.00,197.00,196.226993406133097023,2272718,1555,445968620.00,2025390,89.12,2.55,-0.30
11-April-2019,199.00,199.30,195.55,195.85,196.072430019065749924,352989,2018,69211411.00,271064,76.79,3.75,-3.15
10-April-2019,198.00,199.60,197.40,198.10,198.342556304808292488,97727,724,19383423.00,30205,30.91,2.20,0.10
9-April-2019,198.50,199.05,197.00,198.35,198.256492159106628604,79519,769,15765158.00,20690,26.02,2.05,-0.15
8-April-2019,196.35,200.20,195.65,197.75,197.812423784398148330,506786,1425,100248567.00,353536,69.76,4.55,1.40
5-April-2019,199.70,200.25,196.00,196.30,196.834445055700728923,261756,1033,51522597.00,153364,58.59,4.25,-3.40
4-April-2019,202.00,203.10,198.30,199.20,200.682726890042612272,135407,1290,27173846.00,37462,27.67,4.80,-2.80
3-April-2019,200.80,202.50,199.95,200.35,201.159544229657064809,81269,854,16348035.00,28562,35.15,2.55,-0.45
2-April-2019,196.45,200.85,196.45,199.75,199.400059338916035433,165153,1240,32931518.00,29924,18.12,4.40,3.30
1-April-2019,198.95,199.60,194.80,195.60,197.346348517715112075,66384,661,13100640.00,14690,22.13,4.80,-3.35
29-March-2019,198.00,200.40,197.10,198.10,198.450377286097966491,125104,875,24826936.00,41235,32.96,3.30,0.10
28-March-2019,199.45,199.95,196.50,198.30,197.604449967176216824,127956,1122,25284675.00,53036,41.45,3.45,-1.15
27-March-2019,203.50,204.60,198.55,200.30,201.652486720453413215,154561,1230,31167610.00,49274,31.88,6.05,-3.20
26-March-2019,202.00,204.00,199.55,202.75,202.045657777076429435,114066,929,23046540.00,33772,29.61,4.45,0.75
25-March-2019,198.10,203.05,196.90,201.90,201.319940114258535609,185019,2035,37248014.00,60079,32.47,6.15,3.80
22-March-2019,197.95,200.85,197.05,198.50,198.743717635307415293,152172,1524,30243229.00,60451,39.73,3.80,0.55
20-March-2019,198.00,199.50,196.85,197.45,197.997530869211197995,984962,872,195020044.00,870095,88.34,2.65,-0.55
19-March-2019,196.80,200.10,195.40,198.70,198.537473250761947992,123368,1368,24493171.00,55964,45.36,4.70,1.90
18-March-2019,193.65,197.50,193.65,196.75,195.890519405290596640,124296,1260,24348408.00,36240,29.16,3.85,3.10
15-March-2019,187.00,193.80,187.00,192.35,192.312774503203586918,218349,1914,41991302.00,77716,35.59,6.80,5.35
14-March-2019,189.00,189.50,186.75,187.45,188.010281163080784994,129071,1717,24266675.00,46533,36.05,2.75,-1.55
13-March-2019,198.00,198.35,193.05,194.55,194.616493573387956541,166962,1279,32493559.00,72266,43.28,5.30,-3.45
12-March-2019,196.00,202.00,194.30,196.05,198.440368151785484741,544558,3225,108062290.00,176840,32.47,7.70,0.05
11-March-2019,187.00,196.00,187.00,194.40,193.118938871466555626,230547,1851,44522992.00,74442,32.29,9.00,7.40
8-March-2019,188.00,188.50,185.35,187.10,186.792475847549337898,101646,822,18986708.00,29393,28.92,3.15,-0.90
7-March-2019,186.50,189.20,184.80,187.25,187.240226790355029837,235107,2376,44021488.00,32226,13.71,4.40,0.75
6-March-2019,185.00,186.45,182.00,184.70,183.516238285648423161,112789,864,20698613.00,29969,26.57,4.45,-0.30
5-March-2019,183.30,185.40,182.85,182.95,183.943108141260032008,85601,1475,15745714.00,29627,34.61,2.55,-0.35
1-March-2019,182.90,183.50,182.10,183.25,182.820173597703272165,59563,484,10889318.00,16778,28.17,1.40,0.35
28-February-2019,182.45,184.60,180.75,182.55,183.117877567014854091,81661,976,14953589.00,12923,15.83,3.85,0.10
27-February-2019,181.25,184.00,180.00,181.55,181.332197737345907095,1155634,4777,209553653.00,1072968,92.85,4.00,0.30
26-February-2019,181.00,183.05,179.00,181.80,181.372595494398174057,91131,1617,16528666.00,25918,28.44,4.05,0.80
25-February-2019,180.90,182.85,178.80,182.25,180.988845264741496349,81759,688,14797467.00,15019,18.37,4.05,1.35
22-February-2019,181.00,182.60,180.55,181.90,181.775002431880329871,92521,1341,16818005.00,48288,52.19,2.05,0.90
21-February-2019,182.00,182.90,180.90,181.75,182.020567631662349868,91503,1174,16655428.00,31842,34.80,2.00,-0.25
20-February-2019,179.90,182.50,179.00,182.00,180.873866860196608827,227355,857,41122578.00,125241,55.09,3.50,2.10
19-February-2019,181.30,182.90,179.00,179.55,180.702369444506890272,88966,769,16076367.00,15026,16.89,3.90,-1.75
18-February-2019,183.95,183.95,179.45,180.65,181.142161686802487489,95518,860,17302337.00,26134,27.36,4.50,-3.30
15-February-2019,176.00,182.10,176.00,181.50,180.874060568647577756,139313,1779,25198108.00,27367,19.64,6.10,5.50
14-February-2019,177.00,178.30,173.05,174.85,174.864420645274135832,548852,3446,95974687.00,157879,28.77,5.25,-2.15
13-February-2019,181.50,184.60,174.10,176.75,178.950770400465685401,168354,1530,30127078.00,38440,22.83,10.50,-4.75
12-February-2019,182.50,186.25,180.65,181.30,183.372895796757203346,116196,1013,21307197.00,38199,32.87,5.60,-1.20
11-February-2019,180.45,183.00,177.95,182.20,180.546132234920137450,89341,865,16130172.00,20681,23.15,5.05,1.75
8-February-2019,184.80,187.90,180.00,180.45,183.931789134859649399,126754,1134,23314090.00,36594,28.87,7.90,-4.35
7-February-2019,187.00,187.45,183.80,184.75,186.059641615405188553,41129,449,7652447.00,14608,35.52,3.65,-2.25
6-February-2019,186.00,188.40,185.00,186.85,187.163937162289028435,47933,600,8971329.00,12462,26.00,3.40,0.85
5-February-2019,184.00,186.95,183.25,185.45,185.897844311377245508,41750,607,7761235.00,16212,38.83,3.70,1.45
4-February-2019,190.30,190.30,183.60,184.40,186.169336422862515951,59556,744,11087501.00,21733,36.49,6.70,-5.90
1-February-2019,191.20,192.00,186.00,190.35,188.580976552366127973,1048464,1161,197720365.00,972409,92.75,6.00,-0.85
31-January-2019,188.30,191.55,187.00,188.65,189.009489670181952023,124978,2464,23622028.00,42839,34.28,4.55,0.35
30-January-2019,185.75,187.85,183.85,187.05,184.947184453356809807,153345,729,28360726.00,106133,69.21,4.00,1.30
29-January-2019,186.90,187.50,183.80,186.15,185.462173673244270131,65272,696,12105487.00,16156,24.75,3.70,-0.75
28-January-2019,186.15,188.10,182.30,187.80,185.836796101075382740,94385,727,17540206.00,28243,29.92,5.80,1.65
25-January-2019,188.00,189.00,185.25,186.20,187.062909037429222736,54396,520,10175474.00,33749,62.04,3.75,-1.80
24-January-2019,187.65,189.30,182.50,186.35,187.097034067374741122,52631,624,9847104.00,17226,32.73,6.80,-1.30
23-January-2019,189.35,191.00,185.50,186.10,187.145509928165366258,122782,822,22978100.00,41472,33.78,5.50,-3.25
22-January-2019,190.50,190.55,189.00,189.60,189.726202866063565767,24982,257,4739740.00,10067,40.30,1.55,-0.90
21-January-2019,194.00,194.00,190.10,191.35,191.656047486794096825,55089,579,10558140.00,30847,55.99,3.90,-2.65
18-January-2019,194.00,196.60,192.50,193.25,194.585317010504042922,52932,516,10299790.00,17077,32.26,4.10,-0.75
17-January-2019,192.15,194.65,191.50,194.25,194.484327694730749538,2874944,1099,559131551.00,2760988,96.04,3.15,2.10
16-January-2019,193.50,194.15,191.90,192.15,193.003736866808679640,55394,567,10691249.00,25383,45.82,2.25,-1.35
15-January-2019,193.00,194.35,190.85,192.40,191.881996095424027427,105005,935,20148569.00,22265,21.20,3.50,-0.60
14-January-2019,193.50,194.00,191.05,192.45,192.304486435131426158,47365,492,9108502.00,11941,25.21,2.95,-1.05
11-January-2019,195.70,195.90,193.55,194.25,194.511933877215845189,56017,516,10895975.00,17699,31.60,2.35,-1.45
10-January-2019,196.70,197.00,195.10,196.10,196.078740157480314960,36195,465,7097070.00,12190,33.68,1.90,-0.60
9-January-2019,198.00,198.55,195.25,197.20,197.056526534033261281,113345,899,22335372.00,41487,36.60,3.30,-0.80
8-January-2019,198.00,198.35,196.00,197.35,197.149700598802395209,49599,590,9778428.00,10850,21.88,2.35,-0.65
7-January-2019,197.00,198.75,195.70,198.40,197.437926906555876346,56804,599,11215264.00,16057,28.27,3.05,1.40
4-January-2019,193.05,196.50,192.10,195.55,194.798082131970665998,123679,971,24092432.00,42295,34.20,4.40,2.50
3-January-2019,195.40,195.40,192.80,193.30,193.535649344434874150,41796,414,8089016.00,14498,34.69,2.60,-2.10
2-January-2019,199.00,199.30,194.10,195.40,196.094713152273420811,78648,990,15422457.00,20073,25.52,5.20,-3.60
1-January-2019,197.85,200.45,196.35,199.90,198.413092025189183468,94485,726,18747061.00,25900,27.41,4.10,2.05
31-December-2018,197.00,199.75,195.50,199.00,197.686068471948085142,70423,622,13921646.00,16892,23.99,4.25,2.00
28-December-2018,197.75,198.25,195.50,197.75,197.340385704398162713,63572,1231,12545323.00,14394,22.64,2.75,0.00
27-December-2018,195.00,198.50,193.70,196.40,195.486347581480933144,94562,1105,18485580.00,14712,15.56,4.80,1.40
26-December-2018,193.50,196.55,191.25,195.90,194.377163725407413662,47372,619,9208035.00,12107,25.56,5.30,2.40
24-December-2018,197.00,198.10,193.65,194.70,195.112072506592110667,75469,726,14724913.00,12842,17.02,4.45,-2.30
21-December-2018,198.60,199.00,195.40,196.90,197.098622199167499588,79039,653,15578478.00,32379,40.97,3.60,-1.70
20-December-2018,197.90,199.00,195.00,198.15,197.031439497129481086,99111,1390,19527983.00,39144,39.50,4.00,0.25
19-December-2018,195.70,199.80,195.60,198.95,197.700696240937689629,125244,1232,24760826.00,52967,42.29,4.20,3.25
18-December-2018,192.00,197.10,190.75,196.65,194.602868883454760884,158668,1655,30877248.00,50874,32.06,6.35,4.65
17-December-2018,189.10,196.10,189.10,192.50,192.516804908472552427,375188,3121,72229995.00,70892,18.90,7.00,3.40
14-December-2018,185.00,186.55,180.10,185.50,183.356315782540539828,75913,619,13919128.00,11858,15.62,6.45,0.50
13-December-2018,182.60,183.55,181.35,182.95,182.383435402190554704,33964,451,6194471.00,8118,23.90,2.20,0.35
12-December-2018,181.50,183.70,180.80,182.45,182.158500281599485075,74574,722,13584288.00,19603,26.29,2.90,0.95
11-December-2018,178.00,181.20,177.60,180.15,179.905854831946681967,45313,442,8152074.00,8656,19.10,3.60,2.15
10-December-2018,182.50,182.50,176.80,179.65,178.912778326938864409,59687,617,10678767.00,16263,27.25,5.70,-2.85
7-December-2018,184.60,186.85,180.70,182.55,183.436294358384263832,92119,821,16897968.00,13938,15.13,6.15,-2.05
6-December-2018,185.00,185.60,182.35,183.30,184.172973784407112736,146554,1443,26991286.00,34713,23.69,3.25,-1.70
5-December-2018,185.80,187.40,182.50,183.40,186.755187704132796262,713996,448,133342457.00,675718,94.64,4.90,-2.40
4-December-2018,186.50,188.05,182.40,187.00,184.784346795514632145,109690,1490,20268995.00,15437,14.07,5.65,0.50
3-December-2018,180.30,189.25,180.30,184.45,182.595115490164664847,5018436,2813,916341901.00,4688886,93.43,8.95,4.15
30-November-2018,182.50,183.40,178.45,180.10,180.787603829602695399,89931,856,16258410.00,24659,27.42,4.95,-2.40
29-November-2018,185.75,188.20,179.65,181.20,184.546471278954047379,189913,1717,35047774.00,26669,14.04,8.55,-4.55
28-November-2018,182.05,184.75,181.20,184.05,183.623219475323524428,153466,1352,28179921.00,34818,22.69,3.55,2.00
27-November-2018,181.15,184.90,180.10,181.70,182.800978242536684095,118580,1141,21676540.00,37969,32.02,4.80,0.55
26-November-2018,179.50,183.30,178.55,181.80,180.756281433638625655,94445,902,17071527.00,23664,25.06,4.75,2.30
22-November-2018,182.40,183.45,178.05,179.95,180.547556015288053578,114076,1025,20596143.00,45613,39.98,5.40,-2.45
21-November-2018,186.90,187.40,182.25,182.85,183.404532016834869733,137334,1252,25187678.00,47344,34.47,5.15,-4.05
20-November-2018,190.75,190.75,187.10,188.00,188.390712431840369550,167988,866,31647379.00,80189,47.73,3.65,-2.75
19-November-2018,188.90,190.40,187.75,189.70,189.590528779234287287,65377,712,12394860.00,18657,28.54,2.65,0.80
16-November-2018,187.20,190.00,185.85,187.95,188.445404929577464788,113600,916,21407398.00,19286,16.98,4.15,0.75
15-November-2018,188.00,188.35,185.00,187.20,187.212286207111535983,48119,473,9008468.00,11899,24.73,3.35,-0.80
14-November-2018,185.00,187.05,184.15,186.00,185.872130760606597037,67788,603,12599900.00,14436,21.30,2.90,1.00
13-November-2018,186.50,188.10,183.05,184.25,184.919637149218526111,90726,920,16777019.00,19806,21.83,5.05,-2.25
12-November-2018,191.95,192.65,184.70,186.00,187.916769699345616839,66322,738,12463016.00,18941,28.56,7.95,-5.95
9-November-2018,189.70,192.00,187.85,191.50,191.217870288433175586,77973,728,14909831.00,18422,23.63,4.15,1.80
7-November-2018,189.10,189.95,188.10,188.95,188.873288350863266521,10078,155,1903465.00,4892,48.54,1.85,-0.15
6-November-2018,189.00,189.00,185.75,187.85,187.184370556710051405,91430,1017,17114267.00,30245,33.08,3.25,-1.15
5-November-2018,189.90,189.90,185.00,185.85,185.907508695871351514,79348,870,14751389.00,26338,33.19,4.90,-4.05
2-November-2018,189.00,192.00,189.00,190.00,190.522664611188520945,67462,674,12853040.00,19106,28.32,3.00,1.00
1-November-2018,185.80,190.00,185.65,188.80,187.784263348052990766,124550,881,23388530.00,58449,46.93,4.35,3.00
